Topic	Irish	English	Phonetic	Sound	Info
Expressing Opinions	Is maith liom ...	I like ...			
Expressing Opinions	Is breá liom ...	I really like ...			
Expressing Opinions		or			
Expressing Opinions	Tá dúil mhór agam i(n)...	I really like ...			
Expressing Opinions					
Expressing Opinions	Ní maith liom ...	I don't like ...			
Expressing Opinions	Ní maith liom ...ar chor ar bith.	I don't like ... at all.	...ar har a bee		
Expressing Opinions	Ní maith liom ar chor ar bith é.	I don't like it at all.	...ar har a bee ay		
Expressing Opinions	Ní maith liom ar chor ar bith iad.	I don't like them at all.	...ar har a bee ead		
Expressing Opinions	Is fuath liom...	I hate ...			
Expressing Opinions					
Expressing Opinions	clár	programme			
Expressing Opinions	cláracha	programmes			
Expressing Opinions	cláracha faisnéise	documentaries			
Expressing Opinions	cláracha spóirt	sports programmes			
Expressing Opinions	cláracha ceoil	music programmes			
Expressing Opinions	cláracha cainte	talk shows			
Expressing Opinions	cláracha dúlra	nature programmes			
Expressing Opinions					
Expressing Opinions	banc	bank			
Expressing Opinions	seacláid	chocolate			
Expressing Opinions	portán	crab	porthaan		
Expressing Opinions					
Expressing Opinions	mar shampla	for example			
Expressing Opinions	go háirithe	especially	go hairy-heh		
Expressing Opinions					
Expressing Opinions	Is maith liom a bheith ...	I like ...			
Expressing Opinions					
Expressing Opinions	ag garraíodóireacht	gardening	ag garaderact		
Expressing Opinions	ag péinteáil	painting	ag paint-al		
Expressing Opinions	ag cócaireacht	cooking	ag cocker-act		
Expressing Opinions	ag iascaireacht	ag fishing	ag isc-a-ract		
Expressing Opinions	ag léamh	reading	ag lay-oh		
Expressing Opinions	ag siúl	walking	ag shool		
Expressing Opinions					
Expressing Opinions	Is maith liom ...	I like to ...			
Expressing Opinions					
Expressing Opinions	a dhul ag rith.	go running.			
Expressing Opinions	amharc ar an teilifís.	watch television.			
Expressing Opinions	éisteacht le ceol.	listen to music.			
Expressing Opinions	a dhul ag snámh.	go swimming.			
Expressing Opinions	a dhul chuig scannáin.	go to films.			
Expressing Opinions	a dhul chuig drámaí.	go to plays.			
Expressing Opinions	leadóg a imirt.	play tennis.			
Expressing Opinions					
Expressing Opinions		ASKING SOMEONE WHETHER THEY LIKE SOMETHING			
Expressing Opinions					
Expressing Opinions	An maith leat ...?	Do you like... ?			
Expressing Opinions	An maith libh ...?	Do you like... ? (when speaking to more than one person)			
Expressing Opinions		GIVING YOUR REPLY			
Expressing Opinions		When replying to the question An maith leat ...? there's no need to use liom when saying yes or no.			
Expressing Opinions					
Expressing Opinions	CINEÁLACHA CEOIL	Types of music			
Expressing Opinions					
Expressing Opinions	ceol traidisiúnta	traditional music			
Expressing Opinions	ceol clasaiceach	classical music			
Expressing Opinions	snagcheol	jazz			
Expressing Opinions	roc-cheol	rock music			
Expressing Opinions	popcheol	popular music			
Expressing Opinions					
Expressing Opinions	An maith leat ceol clasaiceach?	Do you like classical music?			
Expressing Opinions	Is maith.	Yes.			
Expressing Opinions	Ní maith.	No.			
Expressing Opinions	Is breá liom é.	I really like it.			
Expressing Opinions	Ní maith liom ar chor ar bith é.	I don't like it at all.			
Expressing Opinions	Is fuath liom é.	I hate it.			
Expressing Opinions	Tá sé ceart go leor.	It's all right.			
Expressing Opinions					
Expressing Opinions	An maith leat é?	Do you like it?			
Expressing Opinions					
Expressing Opinions		Having replied to the question An maith leat ...? you may wish to return the same question.			
Expressing Opinions					
Expressing Opinions		You can do this in two ways:			
Expressing Opinions	An maith leatsa é?	Do you like it?			
Expressing Opinions	An maith leat féin é?	Do you like it yourself?			
Expressing Opinions					
Expressing Opinions		SAYING THAT YOU PREFER SOMETHING			
Expressing Opinions					
Expressing Opinions	Is fearr liom ...	I prefer ...			
Expressing Opinions	Is maith liom snagcheoil ach is fearr liom ceol traidisiúnta.	I like jazz but I prefer traditional music.			
Expressing Opinions					
Expressing Opinions	Is maith liomsa fosta é	I like it too/as well			
Expressing Opinions	Is fearr liomsa fosta é	I prefer it too/as well			
Expressing Opinions					
Expressing Opinions	BIA AGUS DEOCH	food and drink			
Expressing Opinions	feoil	meat			
Expressing Opinions	glasraí	vegetables			
Expressing Opinions	bia mara	seafood			
Expressing Opinions	sicín	chicken			
Expressing Opinions	fíon bán	white wine			
Expressing Opinions	fíon dearg	red wine			
Expressing Opinions					
Expressing Opinions	Tá sé maith.	It's good.			
Expressing Opinions	Tá sé an-mhaith.	It's very good.			
Expressing Opinions	Tá sé measartha maith.	It's reasonably good.			
Expressing Opinions	Níl sé rómhaith.	It's not too good.	...roh-why		
Expressing Opinions	Tá sé go dona.	It's very bad.			
Expressing Opinions					
Expressing Opinions		ASKING WHETHER SOMETHING IS ANY GOOD			
Expressing Opinions					
Expressing Opinions	An bhfuil ... maith?	Is ... good?			
Expressing Opinions	An bhfuil an fíon seo maith?	Is this wine good?			
Expressing Opinions	An bhfuil sé seo maith?	Is this good?			
Expressing Opinions	an ceann seo	this one			"as in ""I prefer this one"""
Expressing Opinions					
Expressing Opinions	An bhfuil maith ar bith sa ...?	Is the ... any good?			
Expressing Opinions	An bhfuil maith ar bith sa bhialann sin?	Is that restaurant any good?	an whil my ar bee sa via-lann sin?		said quick
Expressing Opinions					
Expressing Opinions	An bhfuil an bia maith?	Is the food any good?			
Expressing Opinions					
Expressing Opinions	bialann	restaurant	bia-lann		
					
