Topic	Irish	English	Phonetic	Sound	Info
Family	an teaghlach	the family	an chay-la		
Family	Mo theaghlach	My family	mo hay-la		
Family					
Family	athair	father	aher		
Family	máthair	mother	mah-her		
Family	mamaí?	mum?			
Family	deirfiúr	sister	djerifur		
Family	deartháir	brother	djaher		
Family	iníon*	daughter	nyee-in (like news)		* In Ulster the i at the beginning of iníon is not pronounced.
Family	iníonacha	daughters			
Family	mac	son	mawck		
Family					
Family	céile	spouse	kayla		
Family	fear céile	husband [man spouse]	far kayla		
Family	bean chéile	wife [woman spouse]	ban hayla		
Family	EXTENDED				
Family	tuismitheoirí	parents			
Family	dheartháireacha	brothers??			
Family	deirfiúracha	sisters			
Family	seanathair	grandfather			
Family	athair mór	grandfather			
Family	seanmháthair	grandmother			
Family	máthair mhór	grandmother			
Family					
Family	uncail	uncle			
Family	aintin	aunt			
Family					
Family	col ceathrair	cousin			
Family	col ceathracha	cousins			
Family					
Family	leasathair	stepfather			
Family	leasmháthair	stepmother			
Family	leasdeirfiúr	stepsister			
Family	leasdeartháir	stepbrother			
Family					
Family	neacht	niece			
Family	nia	nephew			
Family					
Family	Seo mo mháthair.	That's my mother	..mo wahher		
Family	Seo m'athair.	That's my father	..maher		
Family	Seo m'iníon.	That's my daughter	..minyee-in		
Family	Seo mo mhac.	That's my son	.. mo wock		
Family	Seo mo dheartháir.	That's my brother	.. mo yeah-her		
Family	Seo mo dheirfiúr.	That's my sister	.. mo yerifur		
Family		This is how you introduce more than one daughter or son:			
Family	Seo mo chuid iníonacha...		...whid nyeenacha...		
Family	Seo mo chuid mac...		...whid mawk...		
					
					
					
