Program	Topic	Episode	Irish	Meaning	s/p	Literal	Phonetic
Giota Beag - Series 1	How are you?	1	giota beag	a little bit			gitta big
Giota Beag - Series 1	How are you?	1	Fáilte!	Welcome!			
Giota Beag - Series 1	How are you?	1	Éist!	Listen!			
Giota Beag - Series 1	How are you?	1	céad míle fáilte	Hundred thousand welcomes			
Giota Beag - Series 1	How are you?	1	Is mise ...	I am ...			
Giota Beag - Series 1	How are you?	1	Is mise Róisín	I am Róisín			
Giota Beag - Series 1	How are you?	1	Cad é mar atá tú?	Hello How are you?			
Giota Beag - Series 1	How are you?	1	Cad é mar atá Colm?	How's Colm?			
Giota Beag - Series 1	How are you?	1	Tá mé go maith!	I'm well/good!Taa may go mye!			
Giota Beag - Series 1	How are you?	1	Agus tú féin?	And yourself?			Agus tu hain?
Giota Beag - Series 1	How are you?	1	Go maith	Well			
Giota Beag - Series 1	How are you?	1	Slán!	Bye!			
Giota Beag - Series 1	How are you?	1	Dia duit	Hello			
Giota Beag - Series 1	How are you?	1	> Dia is Muire duit!	Hello to you too			
Giota Beag - Series 1	How are you?	1	Tá fáilte romhat	you're welcome			
Giota Beag - Series 1	How are you?	1	Fáilte go Giota Beag	Welcome to Giota Beag			
Giota Beag - Series 1	A cup of coffee please!	2	go raibh maith agat	Thank you/thanks			
Giota Beag - Series 1	A cup of coffee please!	2	le do thoil	please			
Giota Beag - Series 1	A cup of coffee please!	2	tae	tea			
Giota Beag - Series 1	A cup of coffee please!	2	caifé	coffee			
Giota Beag - Series 1	A cup of coffee please!	2	cupán tae	a cup of tea			
Giota Beag - Series 1	A cup of coffee please!	2	Cupán caifé	a cup of coffee			
Giota Beag - Series 1	A cup of coffee please!	2	Cupán caifé le do thoil	a cup of coffee please			
Giota Beag - Series 1	A cup of coffee please!	2	Tá sé...	it is...			taa shay
Giota Beag - Series 1	A cup of coffee please!	2	fuar	cold			
Giota Beag - Series 1	A cup of coffee please!	2	fliuch	wet			
Giota Beag - Series 1	A cup of coffee please!	2	te	hot			chay
Giota Beag - Series 1	A cup of coffee please!	2	+ gaofar	windy			gayfor?
Giota Beag - Series 1	A cup of coffee please!	2	iontach	extremely / very			inta?
Giota Beag - Series 1	A cup of coffee please!	2	iontach fuar	very cold			
Giota Beag - Series 1	A cup of coffee please!	2	iontach fliuch	very wet			flyuach??
Giota Beag - Series 1	A cup of coffee please!	2	iontach te	very hot			ta shay chay
Giota Beag - Series 1	A cup of coffee please!	2	tá sé i Srón Ramhar	He is in Srón Ramhar / Stranraer			
Giota Beag - Series 1	A cup of coffee please!	2	anois	now			
Giota Beag - Series 1	A cup of coffee please!	2	is maith sin!	that's good! (smashing!)			is maoy shin
Giota Beag - Series 1	A cup of coffee please!	2	tá	Yes [to agree with the weather]			
Giota Beag - Series 1	I like shopping!	3	Tá mé i mo chónaí	I live			ta may mo howney
Giota Beag - Series 1	I like shopping!	3	Tá mé ag obair	I am working			
Giota Beag - Series 1	I like shopping!	3	i mBéal Feirste in Béal Feirste	Belfast			
Giota Beag - Series 1	I like shopping!	3	siopadóireacht	shopping			
Giota Beag - Series 1	I like shopping!	3	sacar	soccer			
Giota Beag - Series 1	I like shopping!	3	Is maith liom ...	I like ...			
Giota Beag - Series 1	I like shopping!	3	Is maith liom sacar	I like soccer			
Giota Beag - Series 1	I like shopping!	3	agus	and			
Giota Beag - Series 1	I like shopping!	3	pósta	married			
Giota Beag - Series 1	I like shopping!	3	Tá mé pósta	I'm married			
Giota Beag - Series 1	I like shopping!	3	Níl mé pósta	I'm not married			
Giota Beag - Series 1	I like shopping!	3	mac	son			
Giota Beag - Series 1	I like shopping!	3	iníon	daughter			nying
Giota Beag - Series 1	I like shopping!	3	Tá mac agam	I have a son			
Giota Beag - Series 1	I like shopping!	3	Tá mac agus iníon agam	I have a son and a daughter			
Giota Beag - Series 1	I like shopping!	3	Oíche mhaith	Good night			e-ha why
Giota Beag - Series 1	Would you like a biscuit?	4	ar mhaith leat...?	Would you like...?			air why lat?
Giota Beag - Series 1	Would you like a biscuit?	4	Ba mhaith	Yes [in terms of above]			ba why
Giota Beag - Series 1	Would you like a biscuit?	4	níor mhaith	No [in terms of above]			nior why
Giota Beag - Series 1	Would you like a biscuit?	4	ba mhaith liom	I would like			
Giota Beag - Series 1	Would you like a biscuit?	4	níor mhaith liom	I wouldn't like			
Giota Beag - Series 1	Would you like a biscuit?	4	siúcra	sugar			
Giota Beag - Series 1	Would you like a biscuit?	4	bainne	milk			
Giota Beag - Series 1	Would you like a biscuit?	4	briosca	a biscuit			briska
Giota Beag - Series 1	Would you like a biscuit?	4	ádh mór ort	good luck			???
Giota Beag - Series 1	Wait a minute	5	gabh mo leithscéal	Excuse me			go ma layskul
Giota Beag - Series 1	Wait a minute	5	leithreas	toilet			laychras
Giota Beag - Series 1	Wait a minute	5	cá bhfuil...?	Where is...?			
Giota Beag - Series 1	Wait a minute	5	cá bhfuil an bainne?	Where is the milk?			
Giota Beag - Series 1	Wait a minute	5	cá bhfuil an siúcra?	Where is the sugar?			
Giota Beag - Series 1	Wait a minute	5	cá bhfuil an leithreas?	Where is the toilet?			
Giota Beag - Series 1	Wait a minute	5	cá bhfuil Úna?	Where is Úna?			
Giota Beag - Series 1	Wait a minute	5	níl a fhios agam	I don't know			neil us agam
Giota Beag - Series 1	Wait a minute	5	cá bhfuil sí?	Where is she?			
Giota Beag - Series 1	Wait a minute	5	cá bhfuil sé?	Where is he?			
Giota Beag - Series 1	Wait a minute	5	cá bhfuil siad?	Where are they?			
Giota Beag - Series 1	Wait a minute	5	cad é mar atá Úna?	How is Úna?			
Giota Beag - Series 1	Wait a minute	5	tá sé go maith	He is well			
Giota Beag - Series 1	Wait a minute	5	tá sí go maith	She is well			
Giota Beag - Series 1	Wait a minute	5	tá siad go maith	They are well			
Giota Beag - Series 1	Wait a minute	5	sa	in the			
Giota Beag - Series 1	Wait a minute	5	sa chuisneoir	in the fridge			
Giota Beag - Series 1	Wait a minute	5	ar an	on the			
Giota Beag - Series 1	Wait a minute	5	ar an tábla	on the table			
Giota Beag - Series 1	Wait a minute	5	thart an coirnéal	around the corner			hort an cornyal
Giota Beag - Series 1	Wait a minute	5	bomaite	a minute			
Giota Beag - Series 1	Wait a minute	5	fan bomaite	wait a minute			
Giota Beag - Series 1	Wait a minute	5	tá sé ar an tábla	it is on the table			
