Topic	Irish	English	Phonetic	Sound	Info
Giving Orders		TELLING SOMEONE TO COME IN			
Giving Orders	Tar isteach.	Come in.			
Giving Orders	Tagaigí isteach.	Come in.(plural)			
Giving Orders	Taraigí isteach.	Come in.(plural)			
Giving Orders					
Giving Orders		TELLING SOMEONE TO SIT DOWN			
Giving Orders					
Giving Orders	Suigh síos.	Sit down.	see shees		
Giving Orders	Suígí síos.	Sit down.(plural)	see-gee shees		
Giving Orders		WARNING SOMEONE			
Giving Orders	Coimhéad!	Look out! or Be careful!	cuv-ahd		
Giving Orders	Coimhéadaigí!	Look out! or Be careful!(plural)	cuv-ahd-igi		
Giving Orders					
Giving Orders	Coimhéad an leoraí	mind the lorry			
Giving Orders	Coimhéad an phéint!	Mind the paint!	cuv-ahd an faint		
Giving Orders					
Giving Orders	Fan bomaite.	Wait a minute.			
Giving Orders	Fanaigí bomaite.	(plural)			
Giving Orders					
Giving Orders	TELLING SOMEONE TO STOP				
Giving Orders					
Giving Orders	Stad!	Stop!			
Giving Orders	Stadaigí!	(plural)			
Giving Orders					
Giving Orders	Ná déan sin.	Don't do that.	na jen sin		
Giving Orders	Ná déanaigí sin.	(plural)	na jenigi sin		
Giving Orders					
Giving Orders	Ná déan seo.	Don't do this.	na jen shaw		
Giving Orders					
Giving Orders	TELLING SOMEONE TO BE QUIET				
Giving Orders					
Giving Orders	Ciúnas!	Quiet!/Silence	cuoonyis		
Giving Orders	Ciúnigí!	Quiet!/Silence	cuoonigee		
Giving Orders	Bí ciúin!	Be quiet!	be cue-in		
Giving Orders	Bígí ciúin!	(plural)	bigee cue-in		
Giving Orders					
Giving Orders	Bí suaimhneach!	Be quiet!	be swinna		
Giving Orders	Bígí suaimhneach!	(plural)	bigee swinna		
Giving Orders					
Giving Orders	Fan socair!	Stay quiet!			
Giving Orders	Fanaigí socair!	(plural)			
Giving Orders					
Giving Orders	TELLING SOMEONE TO GO OR TO CARRY ON				
Giving Orders					
Giving Orders	Gabh amach!	Get out!	go amak (throaty k)		
Giving Orders	Gabhaigí amach!	(plural)	gogi amak (throaty k)		
Giving Orders					
Giving Orders	Imigh leat!	Away you go (in nice way).  Go away! (in strong voice)	immee lat		
Giving Orders	Imigí libh!	(plural)			
Giving Orders					
Giving Orders	Lean ort.	Carry on.	lan ort		
Giving Orders	Leanaigí oraibh.	(plural)	lanigi oriv		
Giving Orders					
Giving Orders		CALLING SOMEONE			
Giving Orders					
Giving Orders	Tar anseo.	Come here.			
Giving Orders	Tagaigí anseo.	(plural)			
Giving Orders	Taraigí anseo.	Come here.	(plural)		
Giving Orders					
Giving Orders	Goitse.	Come here.	gutcha		
Giving Orders	Goitsigí	Come here.(plural)	gutchigi		
Giving Orders					
Giving Orders		Goitse can also be used when you are leaving and when you want someone to come with you.			
Giving Orders	Goitse.	Come on.	gutcha		
Giving Orders		AROUND THE HOUSE			
Giving Orders	Druid an doras.	Shut the door.			
Giving Orders	Druidigí an doras.	(plural)			
Giving Orders					
Giving Orders	Oscail an fhuinneog.	Open the window.			
Giving Orders	Osclaígí an fhuinneog.	(plural)			
Giving Orders					
Giving Orders		In Donegal an f is placed before oscail in everyday speech but it is generally not written.			
Giving Orders					
Giving Orders	Gabh a luí.	Go to bed.	go a lee		
Giving Orders	Gabhaigí a luí.	(plural)	go-gee a lee		
Giving Orders					
Giving Orders	Gabh a chodladh.	Go to sleep.	go a haw-loo???		
Giving Orders					
Giving Orders	Éirigh!	Get up!	ear-ee		
Giving Orders	Éirígí!	(plural)	ear-igi		
Giving Orders					
Giving Orders	Déan deifir!	Hurry up!	Jen jeffer or Jen jeffra		
Giving Orders	Déanaigí deifir!	(plural)	Jenigy jeffer or Jenigy jeffra		
Giving Orders					
Giving Orders	ní thig liom	i can't	nee hig liom		
Giving Orders	Tá deifir orm	I am in a hurry			
Giving Orders	tá sibh mall (p)	you're late			
Giving Orders	bean éigin	some woman	ban ay-gan		
					
					
