Topic	Irish	English	Phonetic	Sound	Info
Introductions	CUR IN AITHNE	INTRODUCTIONS	cur in an-yuh		
Introductions	ainm	Name			
Introductions	sloinne	surname	slin-you		
Introductions	sloinnte	surnames			
Introductions					
Introductions	Cad é an t-ainm atá ort?	What is your name? [What name is on you?]			
Introductions	Cad é an t-ainm atá ort féin?	What is your own name?			
Introductions	>$NAME an t-ainm atá orm.	My name is $NAME [$NAME is the name on me]			
Introductions					
Introductions	Cé thusa?	Who are you?	Kay husa?		
Introductions	>Is mise $NAME	I am $NAME			
Introductions	>Mise $NAME	I'm $NAME			
Introductions					
Introductions	Cad é an sloinne atá ort?	What is your surname?	..slinyou..		
Introductions	>$SURNAME an sloinne atá orm.	My surname is $SURNAME			
Introductions					
Introductions	C'ainm atá ort?	What's your name?			
Introductions	C'ainm atá ortsa?	What's *your* name?			
Introductions	>$NAME				Usually just the surname
Introductions					
Introductions	Cé seo?	Who's this? (one person)			
Introductions	Cé hiad seo?	Who's this? (more than one person) Who are these?			
Introductions	Seo $NAME	This is $NAME			
Introductions	Cé hiad sin?	Who are they/those? (more than one person)			
Introductions					
Introductions	Cé hé sin?	Who is he?			
Introductions	> Sin (é) $NAME.	He is $NAME.			
Introductions					
Introductions					
Introductions	Cé mise?	Who am I?			
Introductions	Cé hé?	Who is he?			
Introductions	Is é... é	He is			
Introductions	Cé hí?	Who is she?			
Introductions	Is í... í	She is			
Introductions	Cé sinne?	Who are we?			
Introductions	Cé hiad?	Who are they?			
Introductions	Is iad... iad	They are...			
Introductions					
Introductions	ar	on	air		
Introductions	ár	our	are		
Introductions	fear	man	far		
Introductions	féar	grass	fay-r		
Introductions	fionn	blond	finn		
Introductions	fíon	wine	fee-in		
Introductions	solas	light	sawlas		
Introductions	sólás	comfort	sow-laas		
Introductions	gunna	gun	gun-na		
Introductions	gúna	dress	goona		
					
