Irish	English	Phonetic	Sound	Info
AG PLÉ TEANGACHA	DISCUSSING LANGUAGES	tchangaha??		
An bhfuil ... agat?	Can you speak ...? (literally, Have you ...?)			
An bhfuil Gaeilge agat?	Can you speak Irish?			
An bhfuil Fraincis agat?	Can you speak French?			
teanga	a language	tchangy??		
teangacha	Languages	tchangaha??		
				
Gaeilge	Irish			
Fraincis	French			
Béarla	English			
Gearmáinis	German			
Iodáilis	Itailian			
Spáinnis	Spanish			
Breatnais	Welsh			
Gaeilge na hAlban	Gaelic (Scotland)			
				
				
Tá Gaeilge líofa agam.	I speak Irish fluently.			
Tá beagán Fraincise agam.	I speak a little French.			
Tá mé ag foghlaim Gearmáinise.	I'm learning German.			
Níl mórán Iodáilise agam.	I can't speak much Italian.			
Níl aon Fraincis agam.	I don't speak french.			
				
Tá.	Yes.			
Níl.	No.			
Beagán.	A little.			
Tá. Tá mé líofa.	Yes. I'm fluent.	Ta. Ta may leefa		
Tá mé ag foghlaim.	I'm learning.			
				
Cad é na teangacha atá agat?	Which/what languages can you speak?			
Cad é na teangacha eile atá agat?	Which/what other languages can you speak?			
				
Tá Fraincis agus Gearmáinis agam.	I speak french and German.			
Tá Iodáilis agam ach níl aon Spáinnis agam.	I speak Italian but I can't speak Spanish.			
Níl aon Fraincis nó Spáinnis agam.	I speak neither french nor Spanish.			
				
If you tell someone that you are learning a language, you might be asked where:				
				
Cá háit?	Where?	Ca hatch?		
				
Ón teilifís.	From the television.			
Ón raidió.	From the radio.			
Ag rang oíche.	At a night class.			
San ollscoil	At the university			
Ó fhístéipeanna sa bhaile.	From videotapes at home.			
ó físeán	from video			
ó físeáin	from videos			
				
An dtuigeann tú Gaeilge?	Do you understand Irish?	an diggin to Gaelic?		
Tuigim.	Yes (I do understand).			
Ní thuigim.	No (I don't understand).			
				
An ólann tú caife?	Do you drink coffee?			
Ólaim.	Yes.			
Ní ólaim	No.			
				
Tuigim.	understand.			
Ní thuigim.	I don't understand.			
				
An bhfuil Gaeilge agat?	Can you speak Irish?			
Tá	Yes.			
Níl	No.			
