Topic	Irish	English	Phonetic	Sound	Info
Numbers	Náid	Zero	Nawj		
Numbers	Aon	One	Ayn		
Numbers	Dó	Two	Doh		
Numbers	Trí	Three	Tree		
Numbers	Ceathair	Four	KYA-hir		
Numbers	Cúig	Five	KOO-ig		
Numbers	Sé	Six	Shay		
Numbers	Seacht	Seven	Shakht		
Numbers	Ocht	Eight	Awkht		
Numbers	Naoi	Nine	Nee		
Numbers	Deich	Ten	Jay		
Numbers					
Numbers	uimhir	number	ever		
Numbers	uimhreacha	numbers			
Numbers	na huimhreacha	the numbers			
Numbers					
Numbers	a náid	zero			
Numbers					
Numbers	a haon	one			
Numbers	a dó	two			
Numbers	a trí	three			
Numbers	a ceathair	four			
Numbers	a cúig	five			
Numbers	a sé	six			
Numbers	a seacht	seven			
Numbers	a hocht	eight			
Numbers	a naoi	nine			
Numbers					
Numbers	a deich	ten			
Numbers					
Numbers	a haon déag	eleven			
Numbers	a dó dhéag	twelve	doe yeag		
Numbers	a trí déag	thirteen			
Numbers	a ceathair déag	fourteen			
Numbers	a cúig déag	fifteen			
Numbers	a sé déag	sixteen			
Numbers	a seacht déag	seventeen			
Numbers	a hocht déag	eighteen			
Numbers	a naoi déag	nineteen			
Numbers	fiche	twenty	fihha		
Numbers					
Numbers	fiche a haon	twenty one	fihha a haon		
Numbers	...				
Numbers	triocha	thirty	truck-ah		
Numbers	daichead/Ceathracha	forty	die-hid/Cara-hach		
Numbers	caoga	fifty	cway-gah		
Numbers	seasca	sixty	shahs-kah		
Numbers	seachtó	seventy	shock toe		
Numbers	ochtó	eighty	uck toe		
Numbers	nócha	ninety	noe-kah		
Numbers	céad	hundred	cay-d		
Numbers	míle	thousand	meala		
Numbers	milliún	million	millyun		
Numbers					
Numbers	aon bhliain amhain	1 YEAR			
Numbers	...				
Numbers	dhá bhliain	2 YEARS			
Numbers	trí / ceithre / cúig / sé bliana	3-6 YEARS			
Numbers	seacht / ocht / naoi / deich mbliana	7-10 YEARS			
Numbers	...				
Numbers	aon bhliain déag	11 YEARS			
Numbers	dhá bhliain déag	12 YEARS			
Numbers	trí / ceithre / cúig / sé bliana déag	13-16 YEARS			
Numbers	seacht / ocht / naoi mbliana déag	17-19 YEARS			
Numbers	...				
Numbers	fiche bliain	20 YEARS			
Numbers	aon bliain is fiche	21 YEARS			
Numbers	dhá bhliain is fiche	22 YEARS			
Numbers	trí / ceithre / cúig / sé bliana is fiche	23-26 YEARS			
Numbers	seacht / ocht / naoi mbliana is fiche	27-29 YEARS			
Numbers	...				
Numbers	tríocha bliain	30 YEARS			
Numbers	daichead bliain	40 YEARS			
Numbers	caoga bliain	50 YEARS			
Numbers	seasca bliain	60 YEARS			
Numbers	seachtó bliain	70 YEARS			
Numbers	ochtó bliain	80 YEARS			
Numbers	nócha bliain	90 YEARS			
Numbers	céad bliain	100 YEARS			
Numbers					
Numbers	an chéad	first			
Numbers	an dara	second			
Numbers	an triú	third			
Numbers	an ceathrú	fourth			
Numbers	an cúigiú	fifth			
Numbers	an séú	sixth			
Numbers	an seachtú	seventh			
Numbers	an t-ochtú	eighth			
Numbers	an naoú	ninth			
Numbers	an deichiú	tenth			
Numbers	an t-aonú lá déag	the eleventh day			
Numbers	an fichiú	twentieth			
Numbers	an t-aonú lá is fiche	the twenty-first day			
Numbers					
Numbers	teanga	a language			
Numbers	teangacha	languages			
Numbers					
Numbers	teanga amháin	one language			
Numbers	dhá theanga	two languages			
Numbers	trí theanga	three languages			
Numbers	ceithre theanga	four languages	kera		
Numbers	cúig theanga	five languages			
Numbers	sé theanga	six languages			
Numbers					
Numbers	rothar	bicycle			
Numbers	rothar amháin	one bicylce			
Numbers	dhá rothar	two bicylces			
Numbers					
Numbers	cathaoir	chair			
Numbers	cathaoir amháin	one chair	cih-her??		
Numbers	dhá chathaoir	two chairs	yeh hih-her		
Numbers					
Numbers	pionta	pint			
Numbers	pionta amháin	one pint			
Numbers	trí phionta	three pints			
Numbers	cúig phionta	five pint			
Numbers	seacht bpionta	seven pints			
Numbers	ocht bpionta	eight pints			
Numbers	deich bpionta	ten pints			
Numbers					
Numbers	leabhar	book			
Numbers	trí leabhar	three books			
Numbers					
Numbers	doras	door			
Numbers	doras amháin	one door			
Numbers	ceithre dhoras	four doors			
Numbers					
Numbers	bosca	box	boxsa		
Numbers	ceithre bhosca	four boxes	kera woxsa		
Numbers	ocht mbosca	eight boxes	okt moxsa		
Numbers					
Numbers	buidéal	bottle			
Numbers	buidéal amháin	one bottle			
Numbers	cúig bhuidéal	five bottles			
Numbers	seacht mbuidéal	seven bottles			
Numbers					
Numbers	caife	coffee			
Numbers	caife amháin	one coffee			
Numbers	sé chaife	six coffees			
Numbers					
Numbers	oráiste	orange			
Numbers	oráistí	oranges			
Numbers	cúig oráiste	five oranges			
Numbers					
Numbers	seacht sú oráiste	seven orange juices			
Numbers					
Numbers	gloine	glass			
Numbers	gloine amháin	one glass			
Numbers	naoi ngloine	nine glasses			
Numbers					
Numbers					
Numbers	tábla	table			
Numbers	ceithre thábla	four tables			
Numbers					
Numbers					
Numbers	úll	apple			
Numbers	ceithre úll	four apples			
Numbers					
Numbers	cóta	coat			
Numbers	naoi gcóta	nine coats			
Numbers					
Numbers	geansaí	jumper			
Numbers	deich ngeansaí	nine jumpers			
					
