Irish	English	Phonetic	Sound	Info
Cá as tú?	Where are you from?			After giving your response, you can ask the same question in the following ways:
Cá as túsa?	Where are *you* from?  or			
Cá as tú féin?	Where are you from yourself?			
Agus tú féin?	And yourself?	Agus tu hain?		
				
Cárb as thú?	Where are you from?	Carb ass who?		
Cárb as thú féin?	Where are you from yourself?	Carb ass who hain?		
Cárb as thú, a $NAME?	Where are you from, $NANE?	Carb ass who, $NAME?		
				
Is as ... mé.	I'm from ...			
Is as Dún Geanainn mé.	I'm from Dungannon.			
As Léim an Mhadaidh.	From Limavady.			
				
Cá bhfuil tú?	Where are you?			
Cá bhfuil tú i do chónaí?	Where do you live? (literal: where are you in your living?)			
Tá mé i mo chónaí i(n)...	I live in...			
Tá mé i mo chónaí in Aontroim.	I live in Antrim.			
Tá mé i mo chónaí i nDún Geanainn.	I live in Dungannon.			
				
An bhfuil sé deas?	Is it nice?	An whil shay jeas?		
Tá sé deas	It is nice			
Tá sé go maith	It is good			
An maith leat é?	Do you like it?			
Is maith liom é.	I like it.			
Is maith.	I like it.			Shorter and acceptable
				
seoladh	address	shaw-loo		
Cad é an seoladh atá agat?	What's your address?			
				
Aít bhreithe	Place of birth	eh-tch vrey-ha		
				
Is as Ard Mhacha **ó dhúchas** mé, ach tá mé i mo chónaí i mBeal Feirste anois.	I'm originally from Armagh, but I live in Belfast now.	As Ard Whacha **oh huhas** meh, ack taw may i mo hoaney in mel ferste anish		
				
sráid	street	sradg		
bóthar	road	baw-her		
lár	centre	lar		
taobh amuigh	outside	too amwee		
baile	town	balla		
cathrach	city	ceh-hra		
tuath	countryside	too-a		
				
Tá mé i mo chónaí ...	I live ...			
... i lár an bhaile.	... in the centre of town.	.. i lar an whalla		
... taobh amuigh den bhaile.	... outside the town	.. too amwee den whalla???		
... faoin tuath	... in the countryside	fween too-a		
... i lár na cathrach	... in the city centre.	i lar na ceh-hra		maybe.. in the center of the city???
... ar shráid Anraí	... on Henry Street	ar hradg anry		
... ar Bhóthar na Carraige	... on Carrick Road	ar waw-her na carriga		
