Topic	Irish	English	Phonetic	Sound	Info
Places	Cúige	province (of Ireland/fifths)	cwig-a		
Places	Contae	County	cont-ay		
Places					
Places	Uladh	Ulster	ull-oo		
Places	Mumhan	Munster	moo-an		
Places	Laighean	Leinster	lie-on		
Places	Connachta	Connacht	con-awcta		
Places					
Places	Cúige Uladh	County Ulster	cwig-a ull-oo		
Places	Cúige Mumhan	County Munster	cwig-a moo-an		
Places	Cúige Laighean	County Leinster	cwig-a lie-on		
Places	Cúige Chonnacht	County Connacht	cwig-a hon-awct		
Places					
Places	Aontroim (Contae Aontroma)	Antrim			Ulster
Places	Ard Mhacha (Contae Ard Mhacha)	Armagh			Ulster
Places	Ceatharlach (Contae Cheatharlach)	Carlow			Leinster
Places	An Cabhán (Contae an Chabháin)	Cavan			Ulster
Places	An Clár (Contae an Chláir)	Clare			Munster
Places	Corcaigh (Contae Chorcaí)	Cork			Munster
Places	Dún na nGall (Contae Dhún na nGall)	Donegal			Ulster
Places	An Dún (Contae an Dúin)	Down			Ulster
Places	Baile Átha Cliath (Contae Bhaile Átha Cliath)	Dublin			Leinster
Places	Fear Manach (Contae Fhear Manach)	Fermanagh			Ulster
Places	Gaillimh (Contae na Gaillimhe)	Galway			Connacht
Places	Ciarraí (Contae Chiarraí)	Kerry			Munster
Places	Cill Dara (Contae Chill Dara)	Kildare			Leinster
Places	Cill Chainnigh (Contae Chill Chainnigh)	Kilkenny			Leinster
Places	Laois (Contae Laoise)	Laois			Leinster
Places	Liatroim (Contae Liatroma)	Leitrim			Connacht
Places	Luimneach (Contae Luimnigh)	Limerick			Munster
Places	Doire (Contae Dhoire)	Derry			Ulster
Places	An Longfort (Contae an Longfoirt)	Longford			Leinster
Places	Lú (Contae Lú)	Louth			Leinster
Places	Maigh Eo (Contae Mhaigh Eo)	Mayo			Connacht
Places	An Mhí (Contae na Mí)	Meath			Leinster
Places	Muineachán (Contae Mhuineacháin)	Monaghan			Ulster
Places	Uíbh Fhailí (Contae Uíbh Fhailí)	Offaly			Leinster
Places	Ros Comáin (Contae Ros Comáin)	Roscommon			Connacht
Places	Sligeach (Contae Shligigh)	Sligo			Connacht
Places	Tiobraid Árann (Contae Thiobraid Árann)	Tipperary			Munster
Places	Tír Eoghain (Contae Thír Eoghain)	Tyrone			Ulster
Places	Port Láirge (Contae Phort Láirge)	Waterford			Munster
Places	An Iarmhí (Contae na hIarmhí)	Westmeath			Leinster
Places	Loch Garman (Contae Loch Garman)	Wexford			Leinster
Places	Cill Mhantáin (Contae Chill Mhantáin)	Wicklow			Leinster
Places					
Places	Doire > nDoire	Derry			
Places	Baile Átha Cliath > mBaile Átha Cliath	Dublin			
Places	Corcaigh > gCorcaigh	Cork			
Places					
Places	Gleann Gormliath	Glengormley			
Places	Gaoth Dobhair > nGaoth Dobhair	Gweedore			
Places	Birmingham	Birmingham			
Places	Gort an Choirce	Gortahork			
Places	Leitir Ceanainn	Letterkenny			
Places	Cnoc Fola	Bloody Foreland			
Places	> mBéal Feirste	Belfast			
Places	> nGlaschú	Glasgow			
Places	> bPort Rois	Portrush			
Places	>gCúil Raithlin	Coleraine			
Places	>nDun Dealgan	Dundalk			
Places	Dún Geanainn	Dungannon			
Places	Léim an Mhadaidh	Limavady			
Places	Port an Dúnáin	Portadown			
Places					
Places	Nua-Eabhrac	New York			
Places	>nDún Éidin	Edinburgh			
Places					
Places	an Ghearmáin	Germany			
Places	an Fhrainc	France			
					
