Topic	Irish	English	Phonetic	Sound	Info
Taking your leave	AG FÁGÁIL COMHLUADAIR	TAKING YOUR LEAVE	Ag faygal cool-wah-der		
Taking your leave	Caithfidh mé imeacht.	I have to go.	Ka-heh meh imackt		
Taking your leave	Caithfidh mé imeacht arís.	I have to go again.			
Taking your leave	Éist, caithfidh mé imeacht.	Listen, I have to go .			
Taking your leave	Caithfidh mé ag dul abhaile.	I have to go home.			
Taking your leave	Tá mé ag imeacht.	I am going.			
Taking your leave	Tá mé ag dul abhaile.	I am going home.			
Taking your leave	Tá mé ag dul chun an bhaile.	I am going home.			
Taking your leave		GIVING YOUR RESPONSE			
Taking your leave	Maith go leor.	All right.			
Taking your leave	Ceart go leor.	All right.			
Taking your leave	Is mór an trua sin.	That's a pity.			
Taking your leave	Cheana féin!	Already!			
Taking your leave	Níl sé ach luath.	It's only early. (Literal: it's not but early)			
Taking your leave	Cad chuige?	Why?	cad teeya??		
Taking your leave		SAYING YOU'RE SORRY			
Taking your leave	Tá brón orm ach ...	I am sorry but ...			
Taking your leave	Tá mé buartha ach ...	I am sorry but ...			
Taking your leave		SAYING WHY YOU HAVE TO GO			
Taking your leave	Tá mé tuirseach.	I'm tired.			
Taking your leave	Tá mé an-tuirseach.	I'm very tired.			
Taking your leave	Tá sé mall.	It's late.			
Taking your leave	Tá sé an-mhall.	It's very late.			
Taking your leave	Tá mé mall.	I'm late.			
Taking your leave	Tá mé mall don dráma.	I'm late for the play.			
Taking your leave	Tá deifir orm.	I'm in a hurry.			
Taking your leave	Tá mé ag súil le cuairteoirí.	I'm expecting visitors.			
Taking your leave	Tá mé ag dul chuig cruinniú.	I'm going to a meeting.			
Taking your leave					
Taking your leave	Fan tamall beag eile!	Stay a little while longer!			
Taking your leave	Fan go dtí ...	Stay until ...			
Taking your leave	Fan go dtí a hocht.	Stay until eight.			
Taking your leave	Fan leathuair eile.	Stay another half an hour.			
Taking your leave	Fan uair an chloig eile.	Stay another hour.			
Taking your leave		GIVING YOUR REPLY			
Taking your leave	Ní thig liom.	I can't.			
Taking your leave					
Taking your leave	saoire	holiday			
Taking your leave	laethanta saoire	holiday			
Taking your leave	Chífidh mé ar ball tú.	I'll see you in a while/I'll see you later.			
Taking your leave	Chífidh mé i gceann leathuaire* tú.	I'll see you in half an hour.			
Taking your leave	Chífidh mé anocht tú.	I'll see you tonight.			
Taking your leave	Chífidh mé amárach tú.	I'll see you tomorrow.			
Taking your leave	Chífidh mé tráthnóna tú.	I'll see you this evening.			
Taking your leave	Chífidh mé ar maidin tú.	I'll see you in the morning.			
Taking your leave		*For some more useful sentences containing uair go back to Aonad 7.			
Taking your leave		REFERRING TO TIMES FURTHER IN THE FUTURE			
Taking your leave	Chífidh mé i gceann cúpla lá tú.	I'll see you in a few days' time.			
Taking your leave	Chífidh mé ar an tseachtain seo chugainn tú.	I'll see you next week.			
Taking your leave	Chífidh mé i gceann seachtaine tú.	I'll see you in a week's time.			
Taking your leave	Chífidh mé i gceann coicíse tú.	I'll see you in a fortnight's time.			
Taking your leave	Chífidh mé i gceann míosa tú.	I'll see you in a month's time.			
Taking your leave	Chífidh mé an mhí seo chugainn tú.	I'll see you next month.			
Taking your leave	Chífidh mé ag a trí a chlog tú.	I'll see you at three o clock.			
					
