Topic	Irish	English	Phonetic	Sound	Info																																																							
Meeting People	duine	person	dinye																																																									
Meeting People	daoine	people	deeny																																																									
Meeting People	AG BUALADH LE DAOINE	MEETING PEOPLE	Ag Bwayla le deeny		Literally - meeting with people??																																																							
Meeting People																																																												
Meeting People	Haló	Hello																																																										
Meeting People	Cad é mar atá tú?	How are you? (s)			This greeting is sometimes preceded by Haló.																																																							
Meeting People	Cad é mar atá sibh?	How are you? (p)																																																										
Meeting People																																																												
Meeting People	Cad é mar atá tú inniu?	How are you today? (s)																																																										
Meeting People																																																												
Meeting People	Go maith	Well																																																										
Meeting People	Á, go maith	Ah, well																																																										
Meeting People	Go breá	fine	go brea																																																									
Meeting People	Maith go leor	very good	my go lyor																																																									
Meeting People	Ceart go leor	alright																																																										
Meeting People																																																												
Meeting People	Tá mé…	I am…																																																										
Meeting People	Tá mé go maith.	I am good																																																										
Meeting People	Tá mé go breá	I am fine	Taw may go breaw??																																																									
Meeting People	Tá mé ceart go leor	I am alright																																																										
Meeting People	Tá mé go holc.	I am awful																																																										
Meeting People	Tá mé go measaratha	I am reasonable/middling																																																										
Meeting People	Tá mé go measaratha maith	I am reasonable/middling good																																																										
Meeting People	Tá mé i gceart	I am rightly																																																										
Meeting People																																																												
Meeting People	Tá sé i gceart	He is rightly																																																										
Meeting People																																																												
Meeting People	Níl mé go maith.	I am not good																																																										
Meeting People	Níl caill orm	I am not too bad (or There's no loss upon me)																																																										
Meeting People																																																												
Meeting People	Agus tú féin?	And yourself?	Agus tu hain?																																																									
Meeting People																																																												
Meeting People	Is maith sin	That's good/great																																																										
Meeting People	Go raibh maith agat	Thank you (s)																																																										
Meeting People	Go raibh maith agaibh	Thank you (p)																																																										
Meeting People	Go raibh céad maith agat	Thank you very much																																																										
Meeting People	Go raibh míle maith agat	Thank you very much																																																										
Meeting People	Céad míle fáilte	Hundred thousand welcomes																																																										
Meeting People	Tá fáilte romhat	you're welcome																																																										
Meeting People																																																												
Meeting People	Go ndéana sé maith duit	May it do you good/May it be good for you			If saying thanks for a pint??																																																							
Meeting People																																																												
Meeting People	Cluiche	game	Clee-ha																																																									
Meeting People	fichille	chess	feel-ha																																																									
Meeting People	Cluiche fichille?	A game of chess?/Chess game?	Clee-ha feel-ha																																																									
Meeting People	An bhfuil tú go maith?	Are you well?																																																										
Weather	lá	day	laa??																																																									
Weather																																																												
Weather	grian	sun	grain																																																									
Weather	scamill	cloud	scam-ill																																																									
Weather	ceo	fog	kyo																																																									
Weather	fearthainn	rain	far-heen																																																									
Weather	sioc	ice	shuck																																																									
Weather	teocht	temperature	chalked																																																									
Weather	sneachta	snow	snock-ta																																																									
Weather	tintreach	lightning	chin-trock																																																									
Weather	toirneach	thunder	torn-yock																																																									
Weather																																																												
Weather	fuar	cold	fooar																																																									
Weather	fliuch	wet	flu(ch) [(ch) = soft k]																																																									
Weather	báistí	rainy																																																										
