Topic	Irish	English	Phonetic	Sound	Info
Weather	lá	day	laa??		
Weather					
Weather	grian	sun	grain		
Weather	scamill	cloud	scam-ill		
Weather	ceo	fog	kyo		
Weather	fearthainn	rain	far-heen		
Weather	sioc	ice	shuck		
Weather	teocht	temperature	chalked		
Weather	sneachta	snow	snock-ta		
Weather	tintreach	lightning	chin-trock		
Weather	toirneach	thunder	torn-yock		
Weather					
Weather	fuar	cold	fooar		
Weather	fliuch	wet	flu(ch) [(ch) = soft k]		
Weather	báistí	rainy			
Weather	te	hot	chay		
Weather	gaofar	windy	gweefor/geefo?		
Weather	tirim	dry	Chur-im		
Weather	Taise	damp	tasha		
Weather	grianmhar	sunny	grain-wur		
Weather	scamillach	cloudy	scam-ill-ock		
Weather	ceomhar	foggy	kyowar??		
Weather	geal	bright	gyal		
Weather	dorcha	dark	dora-ha		
Weather					
Weather	ag cur fearthainne	raining	ig cur far-heen-ya		
Weather	ag cur sneachta	snowing	ag cur snock-ta		
Weather					
Weather	iontach	extremely / very	inta?		
Weather	iontach fuar	very cold			
Weather	iontach fliuch	very wet	flu(ch) [(ch) = soft k]		
Weather	iontach te	very hot	ta shay chay		
Weather					
Weather	Tá sé...	it is...	taa shay		
Weather	Bhí sé...	it was...	vee shay		
Weather	Níl sé...	it is not...	taa shay		
Weather	Tá sé lá...	it is a ... day	taa shay laa ... day		
Weather					
Weather	Tá	Yes [to agree with the weather]			
Weather	Tá, cinnte.	It is indeed/surely.	teh, kintche		
Weather					
Weather	Tá lá breá ann.	It's a fine day.	teh leh breah ann		
Weather	Tá lá breá ann inniu.	It's a fine day today.	teh leh breah ann inn-u		
Weather					
Weather	...Buíochas le Dia	...thank God	bwayhas le djia		is used quite frequently in this context.
Weather					
Weather	Tá drochlá ann.	It's a bad day.	teh drock-leh ann		
Weather	Tá drochlá ann inniu.	It's a bad day today.	teh drock-leh ann inn-u		
					
