Topic	Irish	English	Phonetic	Sound	Info
What you did	seachtain	week			
What you did	deireadh	end			
What you did	an deireadh seachtaine	the weekend			
What you did					
What you did		REFERING TO THE RECENT PAST			
What you did	...ag an deireadh seachtaine	at the weekend			
What you did	...inniú	today			
What you did	...inné	yesterday			
What you did	...arú inné	the day before yesterday	aroo inyay		
What you did	...aréir	last night	a-rare		
What you did	...arú aréir	the night before last			
What you did	...maidin inné	yesterday morning			
What you did	...maidin inniú	this morning			
What you did					
What you did		WHERE YOU WENT			
What you did					
What you did	Cá háit?	Where?	Ca hatch?		
What you did	Cá háit a ndeachaigh* tú?	Where did you go?	Ca hatch a dja-ha too?		
What you did	Cá háit a ndeachaigh* sibh?	Where did you go?  (plural)	Ca hatch a dja-ha shiv?		
What you did	Cá háit a ndeachaigh* tú inné?	Where did you go yesterday?			
What you did	Cá háit a ndeachaigh* tú ag an deireadh seachtaine?	Where did you go at the weekend?	Ca hatch a dja-ha too ag an djeroo shockt-in-ye?		
What you did	Cá háit a ndeachaigh* tú ...?	Where did you go ...	Ca hatch a dja-ha too?		
What you did		* The n at the beginning of this word is not pronounced in the Ulster dialect.			
What you did					
What you did		ASKING SOMEONE WHAT THEY DID			
What you did					
What you did	Cad é rinne tú...?	What did you do...?	Ca jay rin too...?		
What you did	Cad é rinne tú ag an deireadh seachtaine?	What did you do at the weekend?	Ca jay rin too ag an djeroo shock-tin-ya?		
What you did					
What you did		SAYING YOU WENT SOMEWHERE			
What you did					
What you did	Chuaigh mé ...	I went ...	wheh meh ... ---->> who-e meh		
What you did	Chuaigh mé ag snámh.	I went swimming.	wheh meh a sna-o		
What you did	Chuaigh mé ag súil.	I went walking.	wheh meh a shool		
What you did	Chuaigh mé ag bainis.	I went to a wedding.	wheh meh a bawnish		
What you did	Chuaigh muid ag rothaíocht.	We went cycling.	wheh mwidgh ag ro-he-ocht (ro-he-art>>)		
What you did	Chuaigh mé go Béal Feirste ag siopadóireacht.	I went to Belfast shopping.			
What you did	rothaíocht	cycling			
What you did	Chuaigh mé go dtí an siopa	I went to the shop			
What you did	Chuaigh mé chuig cluiche peile	I went to a football match	...clooha pella??		
What you did					
What you did		SAYING WHAT YOU DID			
What you did					
What you did	Bhí mé ag bainis.	I was at a wedding.			
What you did	D'imir mé cispheil.	I played basketball.	Djimir meh kish-fell		
What you did	D'amharc mé ar fhíseáin.	I watched videos.	dark meh ar eesh-aan		
What you did	D'éist mé le dlúthdhioscaí.	I listened to CDs.	djeest meh le dluduskee		
What you did	D'ól mé cúpla deoch.	I had a few drinks.	dol meh coupla jaw		
What you did					
What you did	scannán	film			
What you did					
What you did	Caithfidh mé labhairt leat inniu	I need to see you today	????		
What you did	ceolchoirm	concert			
What you did	coirm cheoil	concert			
What you did	mí (mhí)	month	mee (vee)		
What you did					
What you did	suigh síos	sit down			
What you did	shuigh sé síos	he sat down			
What you did	druid	close			
What you did	dhruid sí	she closed			
What you did					
What you did	ól	drink			
What you did	d'ól mé	I drank			
What you did	fan	wait			
What you did	d'fhan mé	I waited			
What you did					
What you did	bhí mé	I was			
What you did	rinne mé	I did/made			
What you did	chuala tú	you heard	(throaty) cwilla to		
What you did	dúirt sé	he said	doortch sheh		
What you did	fuair sí	she got	foo-er she		
What you did	d'ith muid	we ate	dgee mwidg		
What you did	chonaic sibh	you saw	(throaty) honic shiv		
What you did	thug siad	they gave	hug shade		
What you did	chuaigh mé	I went	who-e meh		
What you did	rug sí ar	she caught	rug she ar		
What you did	tháinig sé	he came	hanig sheh		
What you did	maidin Dé Máirt	Tuesday morning			
What you did	tráthnóna Déardaoin	Thursday evening			
What you did	oíche Luain	Monday night			
What you did	oíche Mháirt	Tuesday night			
What you did	oíche Chéadaoin	Wednesday night			
What you did	oíche Dhéardaoin	Thursday night			
What you did	oíche Aoine	Friday night			
What you did	oíche Shathairn	Saturday night			
What you did	oíche Dhomhnaigh	Sunday night			
What you did	Cá huair?	When?			
What you did	Cá huair a chuaigh tú go Leitir Ceanainn?	When did you go to Letterkenney?			
What you did	Cén lá a chuaigh tú go Leitir Ceanainn?	What day did you go to Letterkenney?			
What you did					
What you did		ASKING SOMEONE WHO WAS WITH THEM			
What you did					
What you did	Cé a bhí leat?	Who was with you?	kay vee lat?		
What you did	Cé a chuaigh leat?	Who went with you?	Kay who-e lat?		
What you did	Cé a bhí ag an disco leat?	Who was with you at the disco?	kay vee ag an disco lat?		
What you did					
What you did	GIVING A RESPONSE				
What you did					
What you did	cara	friend			
What you did	cairde	friends			
What you did	Mo chara	My friend.			
What you did	Mo chara Liam	My friend Liam			
What you did	Mo chairde	My friends			
What you did					
What you did		ASKING SOMEONE IF THEY ENJOYED SOMETHING			
What you did					
What you did	Ar bhain tú sult as?	Did you enjoy it?	Ar win tu sult ass?		
What you did	Ar bhain tú sult as an dráma?	Did you enjoy the play?	Ar win tu sult ass an drama?		
What you did	Ar bhain tú sult as an deireadh seachtaine?	Did you enjoy the weekend?			
What you did					
What you did		GIVING YOUR REPLY			
What you did					
What you did	Bhain.	Yes (I did).	win		
What you did	Níor bhain.	No (I didn't).	near win		
What you did	Bhain mé an-sult as.	I really enjoyed it.	win meh an-sult as		
What you did					
What you did		In Aonad 7 we saw three different words that are used to say 'to' in Irish:			
What you did					
What you did	go hArd Mhacha	to Armagh			
What you did	go dtí an banc	to the bank			
What you did	chuig dráma	to a play			
What you did					
What you did	Chuaigh mé chuig an dochtúir.	I went to the doctor.			
What you did	Chuir mé litir chuig Anna.	I sent a letter to Anna.			
What you did	Chaith sé cnámh chuig an mhadadh.	He threw a bone to the dog.			
					
