Topic	Irish	English	Phonetic	Sound	Info
What you want	Cad é ba mhaith leat?	What would you like?			
What you want	Cad é ba mhaith leatsa?	What would *you* like?			
What you want	Cad é ba mhaith libh?	What would you like? (when speaking to more than one person)			
What you want					
What you want		You can use the following when addressing a friend or family member:			
What you want					
What you want	Cad é atá de dhíth ort?	What do you want?			
What you want	Cad é atá de dhíth oraibh?	What do you want? (when speaking to more than one person)			
What you want					
What you want	SAYING WHAT YOU WANT				
What you want	Ba mhaith liom ...	I'd like ...			
What you want	Ba mhaith liom cupa tae.	I'd like a cup of tea.			
What you want					
What you want	Ba mhaith liom ag dul amach	I'd like to go out			
What you want					
What you want	Caife dubh domhsa.	A black coffee for me.			
What you want	Ba mhaith liomsa tae le bainne.	I'd like tea with milk.			
What you want	Rud ar bith eile?	Anything else?	Rud ar bee ella?		
What you want					
What you want	DEOCHANNA	Drinks			
What you want	caife	coffee			
What you want	caife dubh	black coffee			
What you want	caife bán	white coffee			
What you want	tae	tea			
What you want	tae láidir	strong tea			
What you want	tae lag	weak tea			
What you want	sú oráiste	orange juice			
What you want	uisce	water			
What you want	beoir	beer	byor		
What you want	fíon bán	white wine	fee-in baan		
What you want	fíon dearg	red wine			
What you want	uisce beatha	whiskey	ishka beh-ha		
What you want	sceallógaí	chips			
What you want	briosca	a biscuit	briska		
What you want	bágún	bacon	baa-gun		
What you want					
What you want		BEING COURTEOUS			
What you want					
What you want	... le do thoil.	... please.			
What you want	Go raibh maith agat.	Thank you.			
What you want	Maith thú.	good on you/well done			
What you want	Tá fáilte romhat.	You're welcome.			
What you want	Tá fáilte romhaibh.	You're welcome. (when speaking to more than one person)			
What you want					
What you want		ASKING SOMEONE IF THEY TAKE MILK OR SUGAR			
What you want					
What you want	An dtógann tú bainne?	Do you take milk?			
What you want	An dtógann tú siúcra?	Do you take sugar?			
What you want	Tógaim.	I do.			
What you want	Ní thógaim.	I don't.			
What you want					
What you want		BEING MORE PRECISE			
What you want					
What you want	cupa	a cup			
What you want	muga	a mug			
What you want	pota	a pot			
What you want	gloine	a glass	glinnye		
What you want	pionta	a pint	pinta		
What you want	leathphionta	half a pint	le-finta		
What you want	buidéal	a bottle	bawdjel		
What you want					
What you want	pota tae	a pot of tea			
What you want	gloine uisce	a glass of water			
What you want	pionta beorach	a pint of beer			
What you want					
What you want		ASKING SOMEONE IF THEY WANT A PARTICULAR THING			
What you want					
What you want	Ar mhaith leat ...?	Would you like ...?			
What you want	Ar mhaith libh ...?	Would you like ...? (when speaking to more than one person)			
What you want					
What you want	deoch	a drink	dj-o		
What you want	leac oighir	ice	lack eye-er		
What you want	uachtar reoite	ice cream	wechtar rawtcha		
What you want	ceapaire	sandwich			
What you want	milseáin	sweets			
What you want	úll	apple			
What you want					
What you want	cuidiú	help	coodjoo		
What you want					
What you want		GIVING YOUR REPLY			
What you want					
What you want	Ba mhaith.	Yes (I would).			
What you want	Níor mhaith.	No (I wouldn't).			
What you want					
What you want		SAYING YOU WOULD PREFER SOMETHING			
What you want					
What you want	B'fhearr ...	I'd prefer ...	bear...		
What you want	B'fhearr liom gloine uisce.	I'd prefer a glass of water.	Bear liom glinye ish-ke		
What you want					
What you want	Sláinte!	Cheers! (literally, Health!)			
What you want	Sláinte mhór	Cheers (response??)			
What you want					
What you want	TELLING SOMEONE THAT A DRINK IS THEIRS				
What you want	... duitse.	... for you.			
What you want	Pionta beorach duitse.	A pint of beer for you.			
What you want	Seo do ...	Here's your ...			
What you want	Seo do phionta	Here's your pint.			
What you want					
What you want		TRADITIONAL TOASTS (probably not useful)			
What you want					
What you want	Sláinte mhaith agat i bhfad ó bhrón.	Good health, free from sorrow.			
What you want	Sláinte do bheo agus tróicaire do mharbh.	Health to the living and mercy on the dead.			
What you want	Go mba fada a mhairfidh tú.	Long life to you			
					
