Topic	Irish	English	Phonetic	Sound	Info
Where you are going	Cá bhfuil tú ag dul? (s)	Where are you going?	Ca will to a-gull		
Where you are going	Cá bhfuil sibh ag dul? (p)	Where are you going?	Ca will to a-gull		
Where you are going	Cá bhfuil tusa ag dul?	Where are *you* going?			
Where you are going					
Where you are going		SAYING WHERE YOU ARE GOING			
Where you are going					
Where you are going	Tá mé ag dul ...	I'm going ...	Taw may a gul		
Where you are going	Tá mé ag dul go ...	I'm going to ...			
Where you are going	Tá mé ag dul go Leitir Ceanainn.	I'm going to Letterkenny.			
Where you are going	Tá mé ag dul go dtí an garáiste.	I'm going to the garage.			
Where you are going	Tá muid ag dul go dtí an garáiste.	We're going to the garage.			
Where you are going					
Where you are going	FACILITIES				
Where you are going					
Where you are going	banc	bank			
Where you are going	teach an phobail	church			
Where you are going	oifig an phoist	post office			
Where you are going	caife	cafe	ca-fay		
Where you are going	garáiste	garage			
Where you are going	teach	house			
Where you are going	tithe	houses			
Where you are going	teach tábhairne	pub			
Where you are going	tithe tábhairne	pubs			
Where you are going	bialann	restaurant			
Where you are going	páirc	park			
Where you are going	siopa	shop			
Where you are going	siopaí	shops			
Where you are going	siopa búistéara	butcher's shop			
Where you are going	siopa poitigéara	chemist shop			
Where you are going	siopa bróg	shoe shop			
Where you are going	siopa éadaigh	clothes shop			
Where you are going	ionad spóirt	sports centre			
Where you are going	ionad siopadóireachta	shopping center			
Where you are going	ollmhargadh	supermarket	ollwarragoo		
Where you are going	ospidéal	hospital			
Where you are going	otharlann	hospital			
Where you are going	pictiúrlann	cinema			
Where you are going	sólann	leisure centre			
Where you are going					
Where you are going	codladh	sleep	coh-loo		
Where you are going					
Where you are going	Tá mé ag dul go dtí an t-ionad spóirt.	I'm going to the sports centre.			
Where you are going	Tá mé ag dul go dtí an t-ionad siopadóireachta.	I'm going to the shopping centre.			
Where you are going	Tá mé ag dul go dtí an t-ollmhargadh.	I'm going to the supermarket.			
Where you are going	Tá mé ag dul go dtí an bhialann.	I'm going to the restaurant.			
Where you are going					
Where you are going	Tá mé ag dul abhaile.	I'm going home.			
Where you are going	Tá mé ag dul amach.	I'm going out.			
Where you are going	Tá mé ag dul go hoifig an phoist.	I am going to the post ofice			
Where you are going	Tá mé ag dul go teach an phobail.	I am going to the church			
Where you are going					
Where you are going	tá mé ag dul a chodladh	I am going to sleep	...hoh-loo		
Where you are going	ansin	then			as in I'm going to ... and then I'm going to...
Where you are going					
Where you are going	Go Baile Átha Cliath	To dublin		????	
Where you are going	Go hArd Mhacha*	To Armagh			
Where you are going	Go Dún Pádraig	To Downpatrick			
Where you are going					
Where you are going		*Go doesn't affect words that begin with a consonant, but if the name begins with a vowel, h is placed before it.			
Where you are going					
Where you are going		Go dtí is used before nouns that are preceded by the article:			
Where you are going	Tá mé ag dul go dtí an t-ospidéal.	I am going to the hospital.			
Where you are going					
Where you are going		The word chuig is used instead of go or go dtí when you're talking about going to an event or to see a person. We'll deal with chuig in more detail in Aonad 11.			
Where you are going					
Where you are going	Cad é an t-am?	What time?			
Where you are going	Cad é an t-am atá tú ag dul go Dún Geanainn?	What time are you going to Dungannon?			
Where you are going	Cá huair?	When?	ca hoo-ar		
Where you are going	Cá huair atá tú ag dul go Corcaigh?	When are you going to Cork?			
Where you are going					
Where you are going		SAYING WHEN YOU'RE GOING SOMEWHERE			
Where you are going					
Where you are going	Tá mé ag dul go Gaillimh...	I'm going to Galway...			
Where you are going	Tá mé ag dul...	I'm going ...			
Where you are going	...ag a dó a chlog	at two o'clock			
Where you are going	...i gceann leathuair an chloig	in half an hour	i gen le-hoor a clig		
Where you are going	...i gceann uair an chloig	in an hour's time			
Where you are going	...i gceann trí huaire go leith	in three-and-a-half hours' time			
Where you are going					
Where you are going	...anois	now			
Where you are going	...níos moille	later	nees mullya		
Where you are going	...i gceann tamaill	in a while			
Where you are going					
Where you are going	...anocht	tonight			
Where you are going	...amárach	tomorrow			
Where you are going					
Where you are going	...ar maidin	in the morning			
Where you are going	...meán lae	midday			
Where you are going	...san iarnóin	in the afternoon			
Where you are going	...tráthnóna	in the evening			
Where you are going	...san oíche	in the night			
Where you are going					
Where you are going		The word uair is irregular when preceded by numbers:			
Where you are going					
Where you are going	uair	an hour			
Where you are going	dhá uair	two hours			
Where you are going	trí ... sé huaire	three ... six hours			
Where you are going	seacht ... deich n-uaire	seven ... ten hours			
Where you are going					
Where you are going		This word occurs quite frequently in everyday speech, so it is well worth learning the different forms.			
Where you are going					
Where you are going		SAYING IT'S ALMOST A CERTAIN TIME			
Where you are going					
Where you are going	Tá sé chóir a bheith ...	It's almost ...	Taw shay hor a veh		
Where you are going	Tá sé chóir a bheith a dó a chlog.	It's almost two o'clock.			
Where you are going	Tá sé chóir a bheith a seacht.	It's almost seven.			
Where you are going	Tá sé chóir a bheith leath i ndiaidh a haon.	It's almost half one.			
Where you are going	Tá sé leath i ndiaidh a haon.	It's half one.			
Where you are going	Tá sé ceathrú go dtí a dó dhéag	it's a quarter to 12			
Where you are going	Tá sé ceathrú i ndiaidh a cúig	it's a quarter past 5	tay shay ca-ru i nyay a quig		
Where you are going					
Where you are going	scrúdú	exam			"as in ""scrúdú ar maidin"" == ""exam in the morning"""
					
