program	episode	topic	topic2	type	group	irish	meaning	practice_ideas	s_p	m_f	literal_meaning	phonetic	sound	info
Various	1	Greetings etc				Maidin mhaith.	Good morning.							
Various	1	Greetings etc				Tráthnóna maith.	Good afternoon.					tranoana my		
Various	1	Greetings etc				Oíche mhaith.	Good evening/night.							
Various	1	Greetings etc				beannachtaí	Greetings					baan-ak-tee		
Various	1	Greetings etc				arís	again.							
Various	1	Greetings etc				gabh mo leithscéal	Excuse me							
Various	1	Greetings etc				Fan bomaite	Wait a minute							
Various	1	Greetings etc				Tóg go bog é	Take it easy					Toe-g geh bow-g eh		
Various	1	Greetings etc				póg mo thóin	kiss my ass					powg moh hoe-n		
Various	1	Greetings etc				Comhghairdeas	Congratulations					co-hard-yes		Not Ulster dialect??
Various	1	Greetings etc				Comhghairdeachas	Congratulations					co-hard-ye-has		Ulster dialect??
Various	1	Greetings etc				Níl a fhios agam	I don't know					neil us agam		
Various	1	Greetings etc				Tá a fhios agam	I know					Ta us agam		
Various	1	Greetings etc				freagair	reply/answer					freggar		
Various	1	Greetings etc				cur Gaeilge air?	What's irish for?							
Various	1	Greetings etc				sparán	purse					sparaan		
Various	1	Greetings etc				lá breithe shona	happy birthday					laa brayha		
Various	1	Greetings etc				lá breithe shona duit	happy birthday to you							
NYT	1	Meeting People		WORD		Fáilte	Welcome							
NYT	1	Meeting People		PHRASE		Tá fáilte romhat	you're welcome				There is a welcome for / before you			
NYT	1	Meeting People		WORD		Aonad 1	Unit 1					Ay-nid a hein		
NYT	1	Meeting People		PHRASE		fáilte romhat go Aonad 1	welcome to unit 1				There is a welcome for / before you			
NYT	1	Meeting People		WORD		duine	person					dinye		
NYT	1	Meeting People		WORD		daoine	people					deeny		
NYT	1	Meeting People		PHRASE		Ag bualadh le daoine	Meeting people				meeting with people??	Ag Bwayla le deeny		
NYT	1	Meeting People		PHRASE		Dia duit!	Hello! (God to you)		s					
NYT	1	Meeting People		PHRASE		Dia is Muire duit.	Hello. (in response)		s					
NYT	1	Meeting People		PHRASE		Dia daoibh!	Hello! (God to you)		p					
NYT	1	Meeting People		PHRASE		Dia is Muire daoibh	Hello. (in response)		p					
NYT	1	Meeting People		WORD		Haló	Hello (less formal)							
NYT	1	Meeting People		QUESTION		Cad é mar atá tú?	How are you?		s					This greeting is sometimes preceded by Haló.
NYT	1	Meeting People		QUESTION		Cad é mar atá tú, $NAME?	How are you, $NAME?		s					This greeting is sometimes preceded by Haló.
NYT	1	Meeting People		QUESTION		Cad é mar atá sibh?	How are you?		p					
NYT	1	Meeting People		QUESTION		Cad é mar atá tú inniu?	How are you today?		s					
NYT	1	Meeting People		PHRASE		Á, go maith	Ah, well							
NYT	1	Meeting People		PHRASE	HOW_I_AM	go maith	well							
NYT	1	Meeting People		PHRASE	HOW_I_AM	go breá	fine					go brea		
NYT	1	Meeting People		PHRASE	HOW_I_AM	maith go leor	very good					my go lyor		
NYT	1	Meeting People		PHRASE	HOW_I_AM	ceart go leor	alright							
NYT	1	Meeting People		PHRASE	HOW_I_AM	go holc	awful							
NYT	1	Meeting People		PHRASE	HOW_I_AM	go measaratha	reasonable/middling							
NYT	1	Meeting People		PHRASE	HOW_I_AM	go measaratha maith	reasonable/middling good							
NYT	1	Meeting People		PHRASE	HOW_I_AM	i gceart	rightly							
NYT	1	Meeting People		WORD	PRONOUNS	mé	I					meh		
NYT	1	Meeting People		WORD	PRONOUNS	tú	you		s			too		
NYT	1	Meeting People		WORD	PRONOUNS	sé	he					shay		
NYT	1	Meeting People		WORD	PRONOUNS	sí	she					shee		
NYT	1	Meeting People		WORD	PRONOUNS	muid	we					mwidge		
NYT	1	Meeting People		WORD	PRONOUNS	sibh	you		p			shiv		
NYT	1	Meeting People		WORD	PRONOUNS	siad	they 					Shee-id		
NYT	1	Meeting People		PHRASE		Tá mé	I am							
NYT	1	Meeting People		PHRASE		Tá tú	You are 		s					
NYT	1	Meeting People		PHRASE		Tá sé	He/it is							
NYT	1	Meeting People		PHRASE		Tá sí	she is							
NYT	1	Meeting People		PHRASE		Tá muid	We are							
NYT	1	Meeting People		PHRASE		Tá sibh	You are 		p					
NYT	1	Meeting People		PHRASE		Tá siad	They are							
NYT	1	Meeting People		TEMPLATE		Tá mé $HOW_I_AM.	I am $HOW_I_AM	Repeat for other pronouns/person's name						
NYT	1	Meeting People		SENTENCE		Níl mé go maith.	I am not good	Repeat for other pronouns/person's name						
NYT	1	Meeting People		SENTENCE		Níl caill orm	I am not too bad (or There's no loss upon me)							
NYT	1	Meeting People		QUESTION		Agus tú féin?	And yourself?					Agus tu hain?		
NYT	1	Meeting People		SENTENCE		Is maith sin	That's good/great							
NYT	1	Meeting People		SENTENCE		Go raibh maith agat	Thank you		s					
NYT	1	Meeting People		SENTENCE		Go raibh maith agaibh	Thank you		p					
NYT	1	Meeting People		SENTENCE		Go raibh céad maith agat	Thank you very much							
NYT	1	Meeting People		SENTENCE		Go raibh míle maith agat	Thank you very much							
NYT	1	Meeting People		SENTENCE		Céad míle fáilte	Hundred thousand welcomes							
NYT	1	Meeting People		SENTENCE		Go ndéana sé maith duit	May it do you good/May it be good for you							If saying thanks for a pint??
NYT	1	Meeting People		WORD		Cluiche	game					Clee-ha		
NYT	1	Meeting People		WORD		fichille	chess					feel-ha		
NYT	1	Meeting People		PHRASE		Cluiche fichille?	A game of chess?/Chess game?					Clee-ha feel-ha		
NYT	1	Meeting People		QUESTION		An bhfuil tú go maith?	Are you well?	Repeat for other pronouns/person's name						
NYT	1	Meeting People		WORD		Faisnéis	Information							
NYT	1	Meeting People	Weather	WORD		lá	day					laa??		
NYT	1	Meeting People	Weather	WORD		grian	sun					grain		
NYT	1	Meeting People	Weather	WORD		scamill	cloud					scam-ill		
NYT	1	Meeting People	Weather	WORD		ceo	fog					kyo		
NYT	1	Meeting People	Weather	WORD		fearthainn	rain					far-heen		
NYT	1	Meeting People	Weather	WORD		sioc	ice					shuck		
NYT	1	Meeting People	Weather	WORD		teocht	temperature					chalked		
NYT	1	Meeting People	Weather	WORD		sneachta	snow					snock-ta		
NYT	1	Meeting People	Weather	WORD		toirneach	thunder					torn-yock		
NYT	1	Meeting People	Weather	WORD		tintreach	lightning					chin-trock		
NYT	1	Meeting People	Weather	WORD		gaoth	wind					gwee		
NYT	1	Meeting People	Weather	WORD	WEATHER_DESCRIBE	fuar	cold					fooar		
NYT	1	Meeting People	Weather	WORD	WEATHER_DESCRIBE	fliuch	wet					flu(ch) [(ch) = soft k]		
NYT	1	Meeting People	Weather	WORD	WEATHER_DESCRIBE	te	hot					chay		
NYT	1	Meeting People	Weather	WORD	WEATHER_DESCRIBE	báistí	rainy							
NYT	1	Meeting People	Weather	WORD	WEATHER_DESCRIBE	gaofar	windy					gweefor/geefo?		
NYT	1	Meeting People	Weather	WORD	WEATHER_DESCRIBE	tirim	dry					Chur-im		
NYT	1	Meeting People	Weather	WORD	WEATHER_DESCRIBE	taise	damp					tasha		
NYT	1	Meeting People	Weather	WORD	WEATHER_DESCRIBE	grianmhar	sunny					grain-wur		
NYT	1	Meeting People	Weather	WORD	WEATHER_DESCRIBE	scamillach	cloudy					scam-ill-ock		
NYT	1	Meeting People	Weather	WORD	WEATHER_DESCRIBE	ceomhar	foggy					kyowar??		
NYT	1	Meeting People	Weather	WORD	WEATHER_DESCRIBE	geal	bright					gyal		
NYT	1	Meeting People	Weather	WORD	WEATHER_DESCRIBE	dorcha	dark					dora-ha		
NYT	1	Meeting People	Weather	WORD	WEATHER_DESCRIBE2	ag cur fearthainne	raining					ig cur far-heen-ya		
NYT	1	Meeting People	Weather	WORD	WEATHER_DESCRIBE2	ag cur sneachta	snowing					ag cur snock-ta		
NYT	1	Meeting People	Weather	WORD		iontach	extremely / very					inta?		
NYT	1	Meeting People	Weather	TEMPLATE		Tá sé $WEATHER_DESCRIBE	it is $WEATHER_DESCRIBE					taa shay $WEATHER_DESCRIBE		
NYT	1	Meeting People	Weather	TEMPLATE		Tá sé $WEATHER_DESCRIBE2	it is $WEATHER_DESCRIBE2					taa shay $WEATHER_DESCRIBE2		
NYT	1	Meeting People	Weather	PHRASE		Bhí sé...	it was...	repeat for appropriate weather				vee shay		
NYT	1	Meeting People	Weather	PHRASE		Níl sé...	it is not...	repeat for appropriate weather				taa shay		
NYT	1	Meeting People	Weather	TEMPLATE		Tá sé iontach $WEATHER_DESCRIBE	it is very $WEATHER_DESCRIBE					taa shay $WEATHER_DESCRIBE		
NYT	1	Meeting People	Weather	PHRASE		Bhí sé iontach …	it was very…					vee shay		
NYT	1	Meeting People	Weather	TEMPLATE		Tá sé lá $WEATHER_DESCRIBE	it is a $WEATHER_DESCRIBE day					taa shay laa $WEATHER_DESCRIBE		
NYT	1	Meeting People	Weather	PHRASE		Tá	Yes [to agree with the weather]							
NYT	1	Meeting People	Weather	SENTENCE		Tá, cinnte.	It is indeed/surely.					teh, kintche		
NYT	1	Meeting People	Weather	SENTENCE		Tá lá breá ann.	It's a fine day.					teh leh breah ann		
NYT	1	Meeting People	Weather	SENTENCE		Tá lá breá ann inniu.	It's a fine day today.					teh leh breah ann inn-u		
NYT	1	Meeting People	Weather	PHRASE		Buíochas le Dia	Thank God	Said after “it's a good day” for example				bwayhas le djia		is used quite frequently in this context.
NYT	1	Meeting People	Weather	SENTENCE		Tá drochlá ann.	It's a bad day.					teh drock-leh ann		
NYT	1	Meeting People	Weather	SENTENCE		Tá drochlá ann inniu.	It's a bad day today.					teh drock-leh ann inn-u		
NYT	1	Meeting People	Goodbyes	SENTENCE		Slán!	Goodbye.				Safe/Health	slawn or slen		
NYT	1	Meeting People	Goodbyes	SENTENCE		Slán go fóill	Goodbye for now					Slaawn guh foil??		Only say Slán after this as response
NYT	1	Meeting People	Goodbyes	SENTENCE		Slán leat	Goodbye to you		s		may safety or health be with you			
NYT	1	Meeting People	Goodbyes	SENTENCE		Slán libh	Goodbye to you		p					
